record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,1,2,24259664,184272048,rp2040_timer0,100007740,R,h1_ocxo_open_loop,16
CNT,1,2,2,200256000,360272048,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,3,2,376256064,536272048,rp2040_timer0,100009990,R,h1_ocxo_open_loop,16
CNT,1,4,2,552256064,712272096,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,5,2,728256032,888272096,rp2040_timer0,100010040,R,h1_ocxo_open_loop,16
CNT,1,6,2,904256016,1064272048,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,7,2,1080256000,1240272048,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,8,2,1256256032,1416272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,9,2,1432256000,1592272032,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,10,2,1608256032,1768272096,rp2040_timer0,100010040,R,h1_ocxo_open_loop,16
CNT,1,11,2,1784256064,1944272048,rp2040_timer0,100009990,R,h1_ocxo_open_loop,16
CNT,1,12,2,1960256048,2120272064,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,13,2,2136256000,2296272096,rp2040_timer0,100010060,R,h1_ocxo_open_loop,16
CNT,1,14,2,2312256032,2472272080,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,15,2,2488256048,2648272064,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,16,2,2664256048,2824272048,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,17,2,2840256064,3000272048,rp2040_timer0,100009990,R,h1_ocxo_open_loop,16
CNT,1,18,2,3016256032,3176272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,19,2,3192256048,3352272048,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,20,2,3368256048,3528272048,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,21,2,3544256032,3704272032,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,22,2,3720256032,3880272080,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,23,2,3896256064,4056272096,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,24,2,4072256032,4232272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,25,2,4248256032,4408272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,26,2,4424256032,4584272080,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,27,2,4600256016,4760272032,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,28,2,4776256048,4936272096,rp2040_timer0,100010030,R,h1_ocxo_open_loop,16
CNT,1,29,2,4952256000,5112272080,rp2040_timer0,100010050,R,h1_ocxo_open_loop,16
CNT,1,30,2,5128256048,5288272080,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,31,2,5304256032,5464272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,32,2,5480256064,5640272064,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,33,2,5656256048,5816272048,rp2040_timer0,100010000,R,h1_ocxo_open_loop,16
CNT,1,34,2,5832256016,5992272048,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,35,2,6008256016,6168272032,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
CNT,1,36,2,6184256016,6344272080,rp2040_timer0,100010040,R,h1_ocxo_open_loop,16
CNT,1,37,2,6360256000,6520272080,rp2040_timer0,100010050,R,h1_ocxo_open_loop,16
CNT,1,38,2,6536256032,6696272064,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,39,2,6712256032,6872272096,rp2040_timer0,100010040,R,h1_ocxo_open_loop,16
CNT,1,40,2,6888256016,7048272080,rp2040_timer0,100010040,R,h1_ocxo_open_loop,16
CNT,1,41,2,7064256016,7224272048,rp2040_timer0,100010020,R,h1_ocxo_open_loop,16
CNT,1,42,2,7240256032,7400272048,rp2040_timer0,100010010,R,h1_ocxo_open_loop,16
