record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,1,24103872,rp2040_timer0,system,boot,true,INFO,32768
STS,1,2,24109056,rp2040_timer0,protocol,schema_version,1,INFO,32768
STS,1,3,24112640,rp2040_timer0,firmware,name,otis_nano_rp2040_connect,INFO,32768
STS,1,4,24115552,rp2040_timer0,firmware,version,SW1,INFO,32768
STS,1,5,24118848,rp2040_timer0,firmware,git_commit,unknown,INFO,32768
STS,1,6,24122688,rp2040_timer0,system,mode,H1_OCXO_OBSERVE_OPEN_LOOP,INFO,32768
STS,1,7,24126672,rp2040_timer0,capture,mode,irq_reconstructed,INFO,32768
STS,1,8,24129664,rp2040_timer0,capture,timestamp_latch,irq_micros_reconstructed,WARN,16
STS,1,9,24132832,rp2040_timer0,capture,limitation,bench_validation_not_final_pio_dma_metrology,WARN,16
STS,1,10,24136720,rp2040_timer0,capture,nominal_capture_clock_hz,16000000,INFO,32768
STS,1,11,24140768,rp2040_timer0,reference,nominal_pps_hz,1,INFO,32768
STS,1,12,24145008,rp2040_timer0,reference,nominal_tcxo_hz,16000000,INFO,32768
STS,1,13,24147984,rp2040_timer0,reference,nominal_ocxo_hz,10000000,INFO,32768
STS,1,14,24151840,rp2040_timer0,capture,fc0_measure_period_ms,1000,INFO,32768
STS,1,15,24155904,rp2040_timer0,system,arduino_core,earlephilhower_arduino_pico,INFO,32768
STS,1,16,24159664,rp2040_timer0,system,board,arduino_nano_rp2040_connect,INFO,32768
STS,1,17,24162704,rp2040_timer0,build,enable_rp2040_boot_diag,1,INFO,32768
STS,1,18,24166048,rp2040_timer0,build,enable_status_led,0,INFO,32768
STS,1,19,24169920,rp2040_timer0,build,capture_backend,irq,INFO,32768
STS,1,20,24173744,rp2040_timer0,build,tcxo_counter_backend,rp2040_fc0_gpin0,INFO,32768
STS,1,21,24177248,rp2040_timer0,build,enable_dac_ad5693r,1,INFO,32768
STS,1,22,24180224,rp2040_timer0,build,enable_h1_dac_sweep,1,INFO,32768
STS,1,23,24183952,rp2040_timer0,dac,i2c_address,76,INFO,32768
STS,1,24,24188448,rp2040_timer0,dac,min_code,0x7000,INFO,32768
STS,1,25,24192496,rp2040_timer0,dac,max_code,0x9000,INFO,32768
STS,1,26,24195104,rp2040_timer0,pins,ch0_generic_event,D10,INFO,32768
STS,1,27,24198400,rp2040_timer0,pins,ch1_pps_reference,D14,INFO,32768
STS,1,28,24202272,rp2040_timer0,pins,ch2_osc_observation,D8_GPIO20_GPIN0,INFO,32768
STS,1,29,24206032,rp2040_timer0,system,h1_open_loop,true,WARN,32768
STS,1,30,24209312,rp2040_timer0,control,gpsdo_steering,not_implemented,INFO,32768
STS,1,31,24213200,rp2040_timer0,capture,tcxo_counter_backend,rp2040_fc0_gpin0,INFO,32768
STS,1,32,24220736,rp2040_timer0,dac,init,ok,INFO,0
STS,1,33,24224752,rp2040_timer0,dac,enabled,true,INFO,32768
STS,1,34,24227440,rp2040_timer0,dac,initialized,true,INFO,0
STS,1,35,24230816,rp2040_timer0,dac,last_write_ok,true,INFO,0
STS,1,36,24235024,rp2040_timer0,dac,i2c_address,76,INFO,32768
STS,1,37,24239280,rp2040_timer0,dac,min_code,0x7000,INFO,32768
STS,1,38,24242288,rp2040_timer0,dac,max_code,0x9000,INFO,32768
STS,1,39,24245712,rp2040_timer0,dac,last_requested_code,0x0000,INFO,0
STS,1,40,24249584,rp2040_timer0,dac,last_applied_code,0x7000,INFO,0
STS,1,41,24253280,rp2040_timer0,dac,gain_mode,1x,INFO,32768
STS,1,42,24256784,rp2040_timer0,dac,reference_mode,external_or_breakout_default,INFO,32768
STS,1,43,24259632,rp2040_timer0,sweep,enabled,true,INFO,32768
STS,1,44,24262944,rp2040_timer0,sweep,running,false,INFO,0
STS,1,45,24267088,rp2040_timer0,sweep,profile,none,INFO,0
STS,1,46,24271296,rp2040_timer0,sweep,step_count,0,INFO,0
STS,1,47,24274224,rp2040_timer0,sweep,active_step,0,INFO,0
STS,1,48,24277312,rp2040_timer0,sweep,clamps_configured,true,INFO,32768
STS,1,49,40292480,rp2040_timer0,system,uptime_seconds,2,INFO,0
STS,1,50,40296624,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,51,40300768,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,52,40304656,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,53,56292224,rp2040_timer0,system,uptime_seconds,3,INFO,0
STS,1,54,56296304,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,55,56300224,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,56,56304048,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,57,72292336,rp2040_timer0,system,uptime_seconds,4,INFO,0
STS,1,58,72296352,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,59,72300416,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,60,72304144,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,61,88292176,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,62,88296240,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,63,88300368,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,64,88303936,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,65,104292144,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,66,104296256,rp2040_timer0,capture,event_count,0,INFO,0
STS,1,67,104299904,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,68,104303360,rp2040_timer0,capture,error_flags,0,INFO,0
