record_type,schema_version,status_seq,timestamp_ticks,status_domain,component,status_key,status_value,severity,flags
STS,1,54,92116480,rp2040_timer0,system,uptime_seconds,5,INFO,0
STS,1,55,92120640,rp2040_timer0,capture,event_count,4,INFO,0
STS,1,56,92124672,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,57,92128656,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,58,108116144,rp2040_timer0,system,uptime_seconds,6,INFO,0
STS,1,59,108119664,rp2040_timer0,capture,event_count,5,INFO,0
STS,1,60,108123904,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,61,108127264,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,62,124116384,rp2040_timer0,system,uptime_seconds,7,INFO,0
STS,1,63,124119968,rp2040_timer0,capture,event_count,6,INFO,0
STS,1,64,124124176,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,65,124128128,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,66,140116064,rp2040_timer0,system,uptime_seconds,8,INFO,0
STS,1,67,140119584,rp2040_timer0,capture,event_count,7,INFO,0
STS,1,68,140123696,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,69,140127696,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,70,156115920,rp2040_timer0,system,uptime_seconds,9,INFO,0
STS,1,71,156119440,rp2040_timer0,capture,event_count,8,INFO,0
STS,1,72,156123120,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,73,156126768,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,74,172116128,rp2040_timer0,system,uptime_seconds,10,INFO,0
STS,1,75,172119760,rp2040_timer0,capture,event_count,9,INFO,0
STS,1,76,172123440,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,77,172126928,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,78,188116416,rp2040_timer0,system,uptime_seconds,11,INFO,0
STS,1,79,188120080,rp2040_timer0,capture,event_count,10,INFO,0
STS,1,80,188124208,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,81,188128464,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,82,204116368,rp2040_timer0,system,uptime_seconds,12,INFO,0
STS,1,83,204120288,rp2040_timer0,capture,event_count,11,INFO,0
STS,1,84,204124128,rp2040_timer0,capture,dropped_count,0,INFO,0
STS,1,85,204128080,rp2040_timer0,capture,error_flags,0,INFO,0
STS,1,86,220116320,rp2040_timer0,system,uptime_seconds,13,INFO,0
STS,1,87,220120192,rp2040_timer0,capture,event_count,12,INFO,0
